#Reg ID	X(")	Y(")	LogAge	[Fe/H]VI	logg	E(B-V)	V	eV	VI	eVI	RA(deg)	Dec(deg)
6 51523 -87.20500 295.89099 9.40000 -0.95916 1.04952 0.03362 22.966 0.011 1.301 0.013 0.46696 -15.37864
6 51558 -87.07100 138.92500 8.55000 -0.71371 1.19127 0.15190 22.662 0.012 1.392 0.015 0.46700 -15.42225
6 51604 -86.90500 -78.77500 9.30000 -1.20994 0.85585 0.03744 22.534 0.009 1.350 0.011 0.46704 -15.48272
6 51784 -86.22400 402.14499 9.55000 -0.95984 1.00687 0.03238 23.038 0.009 1.316 0.010 0.46725 -15.34914
6 51793 -86.20500 -84.24000 8.90000 -0.45448 1.21057 0.03744 22.909 0.005 1.340 0.008 0.46725 -15.48422
6 52029 -85.30000 66.07800 9.35000 -1.20966 0.61738 0.14646 22.600 0.015 1.589 0.017 0.46750 -15.44247
6 6930 -85.26460 128.06000 8.30000 -0.46226 1.66241 0.03800 22.91 0.10 1.14 0.128062 0.5149346 -15.4994611
6 52046 -85.24700 -241.10001 10.00000 -1.22558 0.72619 0.03519 22.919 0.008 1.399 0.010 0.46750 -15.52781
6 52106 -84.95400 254.59200 9.90000 -1.22052 0.81921 0.03362 22.979 0.008 1.358 0.010 0.46763 -15.39011
6 52209 -84.52200 211.39700 8.25000 0.05925 1.47836 0.04366 22.958 0.005 1.353 0.008 0.46775 -15.40211
6 52341 -84.05100 241.15100 9.95000 -1.22324 0.84154 0.03362 23.013 0.007 1.349 0.009 0.46788 -15.39383
6 52392 -83.76400 53.73700 8.65000 -0.71164 1.20676 0.14646 22.798 0.009 1.389 0.011 0.46796 -15.44592
6 52467 -83.46900 -247.94600 9.55000 -0.95967 0.66923 0.03519 22.678 0.010 1.484 0.012 0.46800 -15.52969
6 52530 -83.27400 -296.62701 8.35000 0.06117 1.38721 0.03519 22.829 0.006 1.378 0.008 0.46808 -15.54322
6 52562 -83.16000 -658.05603 9.55000 -0.95967 0.68840 0.03186 22.683 0.013 1.472 0.014 0.46808 -15.64361
6 6914 -82.70530 66.98880 7.95000 0.32959 1.51066 0.14646 22.56 0.08 1.35 0.0943398 0.5142237 -15.4824969
6 52765 -82.35700 131.76900 8.95000 -0.45528 1.31843 0.03574 23.100 0.007 1.296 0.011 0.46833 -15.42422
6 6909 -82.29890 86.16850 9.75000 -0.96336 0.52065 0.03800 22.94 0.16 1.55 0.174642 0.5141108 -15.4878246
6 52787 -82.28000 -225.67101 9.95000 -1.22292 0.84988 0.03519 23.037 0.007 1.343 0.010 0.46837 -15.52353
6 52798 -82.20800 -44.58800 10.15000 -0.21888 0.73448 0.61280 22.874 0.010 1.361 0.013 0.46837 -15.47322
6 6895 -81.41510 197.54201 9.30000 -0.68753 0.22196 0.03800 22.47 0.15 1.92 0.158114 0.5138653 -15.5187616
6 53253 -80.56500 -68.49400 9.50000 -0.95942 0.59370 0.03744 22.548 0.005 1.523 0.007 0.46887 -15.47986
6 53268 -80.52300 -75.61700 9.85000 -1.21864 0.65671 0.03744 22.740 0.006 1.444 0.008 0.46887 -15.48183
6 53344 -80.20800 -115.24000 9.70000 -1.21398 0.68120 0.04705 22.662 0.008 1.440 0.009 0.46896 -15.49283
6 53366 -80.14200 -190.61501 9.90000 -1.22053 0.56903 0.03739 22.685 0.005 1.480 0.007 0.46900 -15.51378
6 6877 -79.83680 152.89900 7.95000 0.31465 1.36400 0.03800 22.66 0.09 1.49 0.102956 0.5134269 -15.5063608
6 53521 -79.60600 60.97400 9.70000 -0.20409 0.37476 0.14646 22.571 0.008 1.461 0.010 0.46913 -15.44389
6 53538 -79.56800 -203.34200 9.75000 -1.21537 0.92040 0.03739 22.981 0.008 1.323 0.010 0.46913 -15.51731
6 53542 -79.56200 146.78500 8.00000 -0.21037 1.40139 0.15190 22.623 0.007 1.398 0.009 0.46917 -15.42006
6 53544 -79.55400 -107.12700 9.25000 -1.20908 1.12864 0.04705 22.842 0.010 1.244 0.013 0.46917 -15.49058
6 6872 -79.33720 182.08299 9.20000 -1.20847 0.96199 0.03800 22.52 0.11 1.29 0.1253 0.5132881 -15.5144674
6 53800 -78.65700 202.21600 9.60000 -0.96028 0.81098 0.03366 22.850 0.007 1.407 0.010 0.46942 -15.40467
6 53844 -78.50800 -356.94400 9.90000 -1.22052 0.87027 0.03406 23.051 0.010 1.337 0.011 0.46946 -15.55997
6 53849 -78.48200 2.80000 9.85000 -1.21862 0.58270 0.03780 22.649 0.007 1.480 0.010 0.46946 -15.46006
