#Reg ID X(")    Y(")    LogAge  [Fe/H]VI        logg    E(B-V)  V       eV      VI      eVI     RA(deg) Dec(deg)
6 60892 -55.23600 66.85500 9.70000 -1.71636 0.78754 0.03721 22.533 0.013 1.332 0.016 0.47617 -15.44225
6 60902 -55.20300 -311.43500 9.95000 -1.47608 0.65077 0.03406 22.693 0.005 1.425 0.007 0.47617 -15.54733
6 60955 -55.04500 -190.02400 10.25000 -1.65653 0.49988 0.03692 22.733 0.006 1.364 0.008 0.47621 -15.51361
6 60996 -54.91400 63.00400 10.05000 -1.48129 0.76124 0.03721 22.868 0.013 1.356 0.016 0.47625 -15.44333
6 6451 -54.83520 -32.85040 8.90000 -1.46141 1.48401 0.05807 22.94 0.09 1.11 0.114018 0.5064820 -15.4547638
6 61084 -54.68600 296.40701 9.95000 -3.48832 1.11709 0.03362 22.851 0.011 1.092 0.013 0.47633 -15.37850
6 61450 -53.64300 -102.58800 9.80000 -1.97113 0.99928 0.07744 22.960 0.014 1.275 0.016 0.47663 -15.48933
6 6399 -53.63530 49.19800 10.00000 -1.47771 0.79656 0.03800 22.90 0.09 1.34 0.108167 0.5061487 -15.4775550
6 61467 -53.58000 352.80600 10.10000 -1.90326 0.44792 0.03269 22.811 0.004 1.431 0.006 0.47667 -15.36283
6 61501 -53.44000 72.09900 9.70000 -1.71659 0.58624 0.14646 22.621 0.010 1.567 0.011 0.47667 -15.44081
6 6377 -53.12050 48.65580 9.65000 -1.96721 0.83229 0.03800 22.50 0.07 1.31 0.0860233 0.5060057 -15.4774044
6 61621 -53.08000 323.93600 10.00000 -1.72952 0.67029 0.03269 22.601 0.008 1.377 0.009 0.47679 -15.37086
6 61658 -52.97900 46.86100 9.55000 -1.46189 0.91830 0.03721 22.680 0.016 1.292 0.019 0.47683 -15.44781
6 61834 -52.49900 -121.88800 10.00000 -1.47885 0.70086 0.03768 22.811 0.012 1.411 0.013 0.47696 -15.49469
6 61874 -52.35700 35.64700 9.95000 -1.72698 0.81022 0.03721 22.770 0.009 1.326 0.011 0.47700 -15.45094
6 61987 -52.03700 153.90900 9.60000 -1.64636 0.64049 0.04549 22.542 0.019 1.477 0.021 0.47708 -15.41808
6 62084 -51.74700 120.54500 10.20000 -1.49468 0.77006 0.03549 22.966 0.007 1.344 0.011 0.47717 -15.42736
6 62236 -51.29300 -246.56300 9.25000 -1.95947 0.97072 0.14977 22.663 0.011 1.370 0.014 0.47729 -15.52933
6 6297 -50.96770 32.55880 10.25000 -4.03000 1.03411 0.03800 22.87 0.24 1.09 0.26 0.5054077 -15.4729330
6 6291 -50.84390 -10.25320 6.40000 -3.28013 4.85442 1.18807 22.44 0.09 1.06 0.108167 0.5053733 -15.4610408
6 62411 -50.78500 -244.06300 8.85000 -1.71192 1.35386 0.20435 23.074 0.008 1.314 0.011 0.47746 -15.52864
6 62578 -50.29700 116.70000 10.05000 -1.73256 0.73876 0.03549 22.744 0.007 1.345 0.009 0.47758 -15.42842
6 6239 -49.75560 -27.15410 9.90000 -1.90117 0.59928 0.05807 22.76 0.08 1.5 0.0943398 0.5050710 -15.4563461
6 62790 -49.67900 65.55600 10.10000 -1.98988 0.93979 0.03721 22.973 0.007 1.246 0.011 0.47775 -15.44261
6 62864 -49.49800 -325.31201 10.30000 -1.40882 0.74170 0.03353 23.049 0.005 1.352 0.007 0.47779 -15.55119
6 6221 -49.16520 102.04300 8.70000 -1.71604 1.64703 0.03800 22.85 0.09 1.01 0.114018 0.5049070 -15.4922343
6 6217 -49.12240 22.87080 10.00000 -1.47780 0.63015 0.03800 22.67 0.10 1.42 0.116619 0.5048951 -15.4702419
6 6191 -48.37140 -26.99530 10.15000 -1.40409 0.36808 0.05807 22.90 0.09 1.48 0.108167 0.5046865 -15.4563902
6 63290 -48.29300 233.33400 10.10000 -1.40373 0.35729 0.03482 22.700 0.009 1.430 0.011 0.47817 -15.39603
6 63313 -48.21300 131.51300 9.80000 -1.72089 0.79153 0.03549 22.652 0.009 1.347 0.013 0.47821 -15.42431
6 6173 -48.07870 -4.86108 6.40000 -1.65972 5.18243 1.18807 22.90 0.10 1.14 0.128062 0.5046052 -15.4625386
6 63484 -47.77500 236.39999 10.30000 -1.50469 0.69403 0.03387 22.916 0.005 1.368 0.009 0.47833 -15.39517
6 63713 -47.13300 -132.78101 10.15000 -1.99516 0.84181 0.03768 22.846 0.009 1.281 0.011 0.47850 -15.49772
6 63733 -47.07900 145.37700 10.10000 -1.98995 0.88840 0.04549 22.923 0.009 1.273 0.013 0.47850 -15.42044
6 6099 -46.35220 26.08130 10.00000 -1.39568 -0.35448 0.03800 22.95 0.14 2.16 0.145602 0.5041256 -15.4711337
6 64007 -46.26000 147.73199 10.10000 -1.73657 0.95153 0.04549 23.108 0.009 1.270 0.013 0.47875 -15.41981
6 64019 -46.22100 25.68800 9.95000 -1.97947 0.83844 0.03721 22.753 0.009 1.314 0.014 0.47875 -15.45369
6 64042 -46.17100 39.89600 9.60000 -1.89531 0.46026 0.03721 22.533 0.011 1.467 0.012 0.47879 -15.44975
6 64136 -45.90800 110.32000 9.90000 -1.47233 0.67527 0.03549 22.679 0.004 1.398 0.008 0.47888 -15.43019
6 64151 -45.86700 73.86600 9.45000 -1.46043 1.00795 0.03721 22.718 0.011 1.253 0.014 0.47888 -15.44031
6 64159 -45.85100 166.43300 9.85000 -1.72174 0.74232 0.06549 22.684 0.011 1.389 0.013 0.47888 -15.41461
6 64260 -45.53300 -58.49900 9.45000 -1.46044 0.86964 0.03807 22.522 0.009 1.309 0.011 0.47896 -15.47708
6 64306 -45.39500 227.23900 9.95000 -1.72697 0.74662 0.03482 22.674 0.010 1.347 0.011 0.47900 -15.39772
6 64342 -45.30100 -140.17400 10.10000 -2.49366 1.00509 0.03768 22.963 0.009 1.198 0.012 0.47904 -15.49978
6 64373 -45.18800 149.84801 9.85000 -1.47023 0.65463 0.05549 22.665 0.007 1.434 0.010 0.47904 -15.41922
6 64451 -44.95300 60.83400 9.50000 -1.46169 0.84932 0.03721 22.580 0.014 1.328 0.016 0.47913 -15.44394
6 64493 -44.82000 96.72800 9.75000 -1.71810 0.86847 0.03549 22.688 0.008 1.297 0.011 0.47917 -15.43397
6 64537 -44.69900 -0.87100 7.25000 -1.72080 2.61903 1.18807 23.114 0.011 1.371 0.014 0.47921 -15.46108
6 6009 -44.45750 167.64101 9.80000 -1.46833 0.39168 0.06549 22.37 0.08 1.58 0.0894427 0.5035993 -15.5104559
